Year,School,Conf,Wins,Losses,Win Pct,Conf Wins,Conf Losses,Conf Win Pct,Off PPG,Def PPG,SRS,SOS,AP Pre,AP High,AP Rank,Football Total Operating Expenses
2022,Texas,Big 12,8,5,0.615,6,3,0.667,34.5,21.6,15.92,8.16,,18,25,"$61,042,363"
2017,Texas A&M,SEC,7,6,0.538,4,4,0.5,32.7,30.7,3.36,3.05,,,,"$48,633,953"
2018,Texas A&M,SEC,9,4,0.692,5,3,0.625,36,25.3,13.61,7.15,,16,16,"$42,803,202"
2019,Texas A&M,SEC,8,5,0.615,4,4,0.5,29.5,22.5,10.02,5.09,12,12,,"$40,626,376"
2020,Texas A&M,SEC,9,1,0.9,8,1,0.889,32.6,21.7,16.24,6.44,13,4,4,"$36,655,978"
2021,Texas A&M,SEC,8,4,0.667,4,4,0.5,29.3,15.9,10.77,1.27,6,5,,"$46,083,050"
2022,Texas A&M,SEC,5,7,0.417,2,6,0.25,22.8,21.2,3.21,3.13,6,6,,"$53,994,534"
2017,Texas State,Sun Belt,2,10,0.167,1,7,0.125,17.3,33.6,-19.31,-7.31,,,,"$7,270,234"
2018,Texas State,Sun Belt,3,9,0.25,1,7,0.125,19.8,27.7,-14.5,-6.75,,,,"$10,332,550"
2019,Texas State,Sun Belt,3,9,0.25,2,6,0.25,18.4,32.6,-12.38,-1.29,,,,"$8,793,352"
2020,Texas State,Sun Belt,2,10,0.167,2,6,0.25,27.7,38.2,-9.93,-0.84,,,,"$8,954,823"
2021,Texas State,Sun Belt,4,8,0.333,3,5,0.375,23.1,33,-12.12,-5.7,,,,"$10,261,457"
2022,Texas State,Sun Belt,4,8,0.333,2,6,0.25,21.1,26.3,-10.04,-4.46,,,,"$13,047,752"
2017,Texas Tech,Big 12,6,7,0.462,3,6,0.333,34.3,32.2,3.01,4.01,,24,,"$29,439,201"
2018,Texas Tech,Big 12,5,7,0.417,3,6,0.333,37.3,31.1,5.09,3.76,,25,,"$30,371,142"
2019,Texas Tech,Big 12,4,8,0.333,2,7,0.222,30.5,30.3,-0.65,1.1,,,,"$29,303,767"
2020,Texas Tech,Big 12,4,6,0.4,3,6,0.333,29.1,36.7,-1.67,3.53,,,,"$27,570,003"
2021,Texas Tech,Big 12,7,6,0.538,3,6,0.333,30.3,30.2,2.57,2.26,,,,"$35,152,808"
2022,Texas Tech,Big 12,8,5,0.615,5,4,0.556,34.2,29.2,9.68,6.45,,,,"$43,970,198"
2017,Toledo,MAC,11,3,0.786,7,1,0.875,36.4,26.2,3.82,-5.04,,,,"$10,768,273"
